id,guideline_id,section_type,text_summary,page,strength_grade,section_id_ref
NICE_REC_001,NICE,WhenToStartAntibiotics,"Defines who should be offered antibiotics during labour to prevent early-onset infection: people in pre-term labour; those with GBS colonization, bacteriuria or infection in the current pregnancy; those with GBS colonization/bacteriuria/infection in a previous pregnancy who lack a negative enrichment culture/PCR rectovaginal swab result in the current pregnancy; those with a previous baby with invasive GBS disease; and those with a clinical diagnosis of chorioamnionitis.",15,,NICE_S01
NICE_REC_002,NICE,FirstLineAntibiotics,"For intrapartum prophylaxis in people with no penicillin allergy, recommends IV benzylpenicillin alone if chorioamnionitis is absent; if chorioamnionitis is present, recommends benzylpenicillin combined with gentamicin and metronidazole to cover a broader range of causative organisms.",15,,NICE_S02
NICE_REC_003,NICE,AlternativeAntibiotics,"For non-severe penicillin allergy, recommends a GBS-active cephalosporin (e.g. cefotaxime), used cautiously and off-label, plus metronidazole if chorioamnionitis is present. For severe penicillin allergy, recommends vancomycin (or an alternative GBS-active agent chosen on sensitivity/local surveillance data) plus gentamicin and metronidazole if chorioamnionitis is present; vancomycin use here is off-label.",16,,NICE_S03
NICE_REC_004,NICE,SpecialSituations,"Recommends offering immediate birth (induction or caesarean) to people between 34 and 37 weeks' gestation who have prolonged prelabour rupture of membranes together with GBS colonization, bacteriuria or infection at any point in the current pregnancy.",17,,NICE_S04
NICE_REC_005,NICE,Contraindications,"States that rifampicin-miconazole-impregnated catheters should not be used in newborn babies, as the evidence showed no additional benefit over standard catheters for reducing late-onset infection.",17,,NICE_S05
NICE_REC_006,NICE,RiskFactors,Lists risk factors for early-onset infection. Red flag: suspected or confirmed infection in another baby of a multiple pregnancy. Other risk factors: previous invasive GBS disease in a sibling or current-pregnancy GBS colonization/bacteriuria/infection; spontaneous pre-term birth before 37 weeks; rupture of membranes over 18 hours before a pre-term birth or over 24 hours before a term birth; suspected or confirmed maternal sepsis in the intrapartum or early postpartum period; suspected or confirmed chorioamnionitis.,18,,NICE_S06
NICE_REC_007,NICE,ClinicalSigns,"Lists clinical indicators of possible early-onset infection. Red flags: apnoea, seizures, need for cardiopulmonary resuscitation, need for mechanical ventilation, signs of shock. Other indicators: altered behaviour or responsiveness, altered muscle tone, feeding difficulties, feed intolerance, abnormal heart rate, respiratory distress signs, hypoxia, persistent pulmonary hypertension, jaundice within 24 hours, encephalopathy signs, temperature abnormality, unexplained bleeding or coagulation abnormality, glucose abnormality, metabolic acidosis.",20,,NICE_S07
NICE_REC_008,NICE,WhenToStartAntibiotics,"Sets out a decision framework: babies with any red flag, or 2 or more non-red-flag risk factors/clinical indicators, should have pre-antibiotic investigations performed and start antibiotics without waiting for results; babies with only 1 non-red-flag risk factor or indicator should have clinical judgement applied on whether to withhold antibiotics and whether to monitor (at least 12 hours using a newborn early warning system if monitoring); babies with no risk factors or indicators continue routine postnatal care.",21,,NICE_S08
NICE_REC_009,NICE,Monitoring,"Describes the Kaiser Permanente neonatal sepsis calculator as an alternative to the risk-factor framework for babies born after 34+0 weeks cared for in a neonatal unit, transitional care, or postnatal ward, restricted to use within a prospective audit that tracks numbers of babies correctly and incorrectly classified against culture-confirmed infection outcomes; if used, the calculator's classification should guide management.",22,,NICE_S09
NICE_REC_010,NICE,RiskFactors,"When assessing or reviewing babies for late-onset infection, notes that prematurity, mechanical ventilation, prior surgery, and presence of a central catheter carry increased risk, and that infection in one baby of a multiple birth should prompt consideration of infection risk in the co-multiples.",25,,NICE_S10
