id,guideline_id,section_type,text_summary,page,strength_grade,section_id_ref
AAP_TERM_REC_001,AAP_TERM,RiskFactors,"Predictive risk factors for EOS in term/late-preterm infants include gestational age, maternal intraamniotic infection (fever or clinical chorioamnionitis), duration of ROM, maternal GBS colonization, adequacy of intrapartum antibiotic therapy, and newborn clinical condition. Chorioamnionitis diagnosis alone has poor specificity: roughly 450 exposed term infants must be treated per confirmed EOS case.",2,,AAP_TERM_T01
AAP_TERM_REC_002,AAP_TERM,WhenToStartAntibiotics,Categorical risk factor algorithm: any ill-appearing newborn or a mother with clinically diagnosed chorioamnionitis warrants labs and empirical antibiotics; a GBS-colonized mother with inadequate intrapartum prophylaxis plus ROM >18 hours or birth <37 weeks warrants laboratory testing; a GBS-colonized mother with inadequate prophylaxis and no other risk factors warrants ≥48 hours of observation.,3,,AAP_TERM_T02
AAP_TERM_REC_003,AAP_TERM,WhenToStartAntibiotics,"Multivariate risk assessment (e.g., the Kaiser Neonatal Early-Onset Sepsis Risk Calculator) combines gestational age, highest maternal intrapartum temperature, GBS colonization status, ROM duration, and intrapartum antibiotic type/duration into an individualized EOS risk estimate. Blood culture plus enhanced clinical observation is recommended at an estimated risk ≥1 per 1000 live births; blood culture plus empirical antibiotics at ≥3 per 1000.",3,,AAP_TERM_T03
AAP_TERM_REC_004,AAP_TERM,Monitoring,"A third strategy relies on serial physical examination over the first 48 hours after birth to detect clinical signs of illness, either applied to all newborns or layered on top of a categorical/multivariate risk screen. This approach reduces laboratory testing and antibiotic use but requires infrastructure for universal, structured, documented serial exams.",4,,AAP_TERM_T04
AAP_TERM_REC_005,AAP_TERM,LaboratoryInvestigations,"Blood culture remains the diagnostic standard for EOS; surface cultures, gastric aspirate analysis, and urine culture are not diagnostic at <72 hours. Modern systems reliably detect bacteremia at 1-10 CFU/mL with a minimum 1 mL inoculum, and one aerobic plus one anaerobic bottle may optimize recovery of rare anaerobic species.",4,,AAP_TERM_T05
AAP_TERM_REC_006,AAP_TERM,LaboratoryInvestigations,"CSF culture should ideally be obtained with blood culture before empirical antibiotics in infants at highest risk, particularly those critically ill; lumbar puncture should not be performed if it would compromise the infant or delay antibiotics. CSF culture/analysis is warranted if blood cultures grow a pathogen but is not needed in the majority of infants with sterile blood cultures.",5,,AAP_TERM_T06
AAP_TERM_REC_007,AAP_TERM,LaboratoryInvestigations,"WBC count, I:T ratio, and absolute neutrophil count perform poorly for predicting EOS in term/late-preterm infants; only extreme values carry meaningfully elevated likelihood ratios but with very low sensitivity. WBC >20,000/µL and platelet counts were not associated with EOS.",5,,AAP_TERM_T07
AAP_TERM_REC_008,AAP_TERM,LaboratoryInvestigations,"CRP and procalcitonin rise with multiple inflammatory stimuli beyond infection; single postnatal values lack sensitivity/specificity for EOS decisions. Consistently normal serial values over 48 hours are associated with absence of EOS, but serial inflammatory-marker screening should not be used to decide on antibiotics for well-appearing term infants.",5,,AAP_TERM_T08
AAP_TERM_REC_009,AAP_TERM,Diagnosis,"EOS is diagnosed only by blood or CSF culture; it cannot be diagnosed by complete blood count, CRP, surface cultures, gastric aspirate analysis, or urine culture.",6,,AAP_TERM_T09
AAP_TERM_REC_010,AAP_TERM,FirstLineAntibiotics,"Ampicillin plus gentamicin is first-choice empirical therapy, effective against GBS, most streptococcal/enterococcal species, and Listeria monocytogenes. About two-thirds of E coli isolates are ampicillin-resistant but most remain gentamicin-sensitive; extended-spectrum beta-lactamase producers are rare, so routine broader-spectrum use is typically not justified and may be harmful.",6,,AAP_TERM_T10
AAP_TERM_REC_011,AAP_TERM,AlternativeAntibiotics,"Roughly 7% of E coli cases (1.7% of all EOS cases) are resistant to both ampicillin and gentamicin. Among critically ill term newborns, empirical addition of broader-spectrum therapy should be considered until culture results are available.",6,,AAP_TERM_T11
AAP_TERM_REC_012,AAP_TERM,StoppingCriteria,"Antibiotic therapy should be discontinued when blood cultures are sterile at 36-48 hours of incubation unless there is clear evidence of site-specific infection; continuing empirical antibiotics in response to isolated laboratory abnormalities is rarely justified, particularly in well-appearing term infants.",6,,AAP_TERM_T12
AAP_TERM_REC_013,AAP_TERM,SpecialSituations,"When EOS is confirmed by blood culture, lumbar puncture should be performed if not already done, and serial daily blood cultures should continue until microbiologic sterility is documented; infectious disease consultation may be considered for meningitis, other site-specific infections, or resistant/atypical organisms.",6,,AAP_TERM_T13
AAP_TERM_REC_014,AAP_TERM,Contraindications,The only proven EOS-prevention strategy is appropriate maternal intrapartum antibiotic prophylaxis; neonatal-side EOS practices cannot themselves prevent EOS. Empirical intramuscular penicillin administered to all newborns for GBS-specific EOS prevention is not justified and is not endorsed by the AAP. No neonatal EOS practice prevents late-onset GBS or other late-onset bacterial infection.,6,,AAP_TERM_T14
