from_id,relationship,to_id,notes
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_001,
AAP_PRETERM_REC_001,SUPPORTED_BY,AAP_PRETERM_S01,page 2
Chorioamnionitis,HAS_RISK_FACTOR,ClinicalChorioamnionitis,per AAP_PRETERM_S01
Chorioamnionitis,HAS_RISK_FACTOR,ProlongedROM,per AAP_PRETERM_S01
Chorioamnionitis,HAS_RISK_FACTOR,Prematurity,per AAP_PRETERM_S01
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_002,
AAP_PRETERM_REC_002,SUPPORTED_BY,AAP_PRETERM_S02,page 4
AAP_PRETERM_REC_002,REQUIRES,BloodCulture,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_003,
AAP_PRETERM_REC_003,SUPPORTED_BY,AAP_PRETERM_S03,page 4
Chorioamnionitis,HAS_RISK_FACTOR,ProlongedROM,per AAP_PRETERM_S03
Chorioamnionitis,HAS_RISK_FACTOR,ClinicalChorioamnionitis,per AAP_PRETERM_S03
Chorioamnionitis,HAS_RISK_FACTOR,Prematurity,per AAP_PRETERM_S03
AAP_PRETERM_REC_003,REQUIRES,BloodCulture,
AAP_PRETERM_REC_003,REQUIRES,LumbarPuncture,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_004,
AAP_PRETERM_REC_004,SUPPORTED_BY,AAP_PRETERM_S04,page 4
AAP_PRETERM_REC_004,REQUIRES,BloodCulture,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_005,
AAP_PRETERM_REC_005,SUPPORTED_BY,AAP_PRETERM_S05,page 5
AAP_PRETERM_REC_005,REQUIRES,LumbarPuncture,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_006,
AAP_PRETERM_REC_006,SUPPORTED_BY,AAP_PRETERM_S06,page 5
AAP_PRETERM_REC_006,REQUIRES,FullBloodCount,
AAP_PRETERM_REC_006,REQUIRES,ITRatio,
AAP_PRETERM_REC_006,REQUIRES,PlateletCount,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_007,
AAP_PRETERM_REC_007,SUPPORTED_BY,AAP_PRETERM_S07,page 5
AAP_PRETERM_REC_007,REQUIRES,CRP,
AAP_PRETERM_REC_007,REQUIRES,Procalcitonin,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_008,
AAP_PRETERM_REC_008,SUPPORTED_BY,AAP_PRETERM_S08,page 6
AAP_PRETERM_REC_008,REQUIRES,BloodCulture,
AAP_PRETERM_REC_008,REQUIRES,LumbarPuncture,
AAP_PRETERM_REC_008,REQUIRES,FullBloodCount,
AAP_PRETERM_REC_008,REQUIRES,CRP,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_009,
AAP_PRETERM_REC_009,SUPPORTED_BY,AAP_PRETERM_S09,page 5
Ampicillin,ACTIVE_AGAINST,GroupBStreptococcus,per AAP_PRETERM_S09
Ampicillin,ACTIVE_AGAINST,ListeriaMonocytogenes,per AAP_PRETERM_S09
Ampicillin,ACTIVE_AGAINST,EscherichiaColi,per AAP_PRETERM_S09
Gentamicin,ACTIVE_AGAINST,GroupBStreptococcus,per AAP_PRETERM_S09
Gentamicin,ACTIVE_AGAINST,ListeriaMonocytogenes,per AAP_PRETERM_S09
Gentamicin,ACTIVE_AGAINST,EscherichiaColi,per AAP_PRETERM_S09
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_010,
AAP_PRETERM_REC_010,SUPPORTED_BY,AAP_PRETERM_S10,page 6
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_011,
AAP_PRETERM_REC_011,SUPPORTED_BY,AAP_PRETERM_S11,page 6
AAP_PRETERM_REC_011,MONITOR_WITH,BloodCulture,
AAP_PRETERM_REC_011,STOP_IF,SuspectedSepsis,"blood culture sterile at 36-48h incubation, no site-specific infection evidence"
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_012,
AAP_PRETERM_REC_012,SUPPORTED_BY,AAP_PRETERM_S12,page 3
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_013,
AAP_PRETERM_REC_013,SUPPORTED_BY,AAP_PRETERM_S13,page 6
AAP_PRETERM_REC_013,REQUIRES,LumbarPuncture,
AAP_PRETERM_REC_013,REQUIRES,BloodCulture,
AAP_PRETERM,RECOMMENDS,AAP_PRETERM_REC_014,
AAP_PRETERM_REC_014,SUPPORTED_BY,AAP_PRETERM_S14,page 6
